cod_fonte,taxon,nom_pt,nom_art,obs,classificação,n_amostra,idade,un_idade,local_coleta,pais_coleta,parte,peso (seco/úmido),ag ,disp_sd_ag,al ,disp_se_al,cd ,disp_se_cd,disp_sd_cd,disp_sem_cd,co ,disp_se_co,disp_sd_co,cr,disp_sd_cr,cu,disp_se_cu,disp_sem_cu,disp_sd_cu,fe,disp_se_fe,disp_sem_fe,disp_sd_sd,mn,disp_sem_mn,disp_se_mn,disp_sd_mn,pb,disp_sem_pb,disp_sd_pb,se,disp_sd_se,disp_se_se,zn,disp_se_zn,disp_sem_zn,disp_sd_zn,ca ,disp_se_ca,disp_sem_ca,k ,disp_se_k,disp_sem_k,mg,disp_se_mg,disp_sem_mg,na,disp_se_na,disp_sem_na,p,disp_se_p,disp_sem_p,ba,disp_se_ba,disp_sd_ba,mo,disp_se_mo,disp_sd_mo,s,disp_se_s,ptn,disp_rmse_lip,disp_sem_ptn,disp_se_ptn,disp_sd_ptn,lip,disp_rmse_lip,disp_sem_lip,disp_se_lip,disp_sd_lip,PUFA,disp_sd_PUFA,disp_rmse_PUFA,disp_se_PUFA,dis_sem_PUFA,w3,disp_rmse_w3,disp_sem_w3,disp_sd_w3,disp_se_w3,w6,disp_rmse_w6,disp_sem_w6,disp_sd_w6,disp_se_w6,Ti,disp_sd_ti
10,Columba palumbus,pombo-selvagem,woodpigeon,,ave,25,,,Centro e sul,Espanha,coxa,úmido,,,,,,,,,,,,Não detectado,,0.000140,0.0008,,,0.002580,,0.00129,,,,,,,,,,,,0.0002990,,0.00074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Turdus philomelos,tordo-selvagem,thrush,,ave,45,,,Centro e sul,Espanha,coxa,úmido,,,,,,,,,,,,Não detectado,,0.000260,0.00011,,,0.002350,,0.0089,,,,,,,,,,,,0.0001600,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Alces alces,alce,moose,,mamifero,5,,, norte do Canadá ,Canadá,músculo estriado,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.84,,,0.87,,1.74,,,0.59,,,,,,,,,,,,,,,,,,
11,Branta canadensis,ganso-do-Canadá,canada Goose,,ave,5,,, norte do Canadá ,Canadá,músculo estriado,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78,,,0.49,,3.63,,,0.70,,,,,,,,,,,,,,,,,,
11,Anas platyrhynchos,pato-real,mallard Duck,,ave,5,,, norte do Canadá ,Canadá,músculo estriado,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.61,,,1.08,,3.54,,,0.96,,,,,,,,,,,,,,,,,,
12,Syncerus caffer,búfalo-africano,buffalo,"Nesse artigo, são apresentados os valores consoante idade,região,gênero e idade. Na nossa tabela foram utilizados os dados referentes as idades. ",mamifero,47,Entre 0 e 1 ,,Kruger National Park (Norte),África do sul,Fígado,úmido,,,,,,,,,0.000266,0.0000091,,,,0.0063,0.001022,,,,,,,0.000567,,0.000028,,,,,0.0000245,,0.0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Syncerus caffer,búfalo-africano,buffalo,idem,mamifero,186,Entre 1 e mais de 6,,Kruger National Park (Norte),África do sul,Fígado,úmido,,,,,,,,,0.00028,0.0000049,,,,0.00574,0.000525,,,,,,,0.00056,,0.0000147,,,,,0.0000343,,0.0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Syncerus caffer,búfalo-africano,buffalo,idem,mamifero,67,Entre 7 e mais de 11,,Kruger National Park (Centro),África do sul,Fígado,úmido,,,,,,,,,0.00028,0.000007,,,,0.00483,0.000784,,,,,,,0.000518,,0.0000217,,,,,0.0000343,,0.0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Syncerus caffer,búfalo-africano,buffalo,idem,mamifero,11,>12,ano,Kruger National Park (Sul),África do sul,Fígado,úmido,,,,,,,,,0.000245,0.0000322,,,,0.00504,0.000364,,,,,,,0.00049,,0.00001015,,,,,0.0000266,,0.0000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Odocoileus virginianus,cervo-de-cauda-branca,white-tailed deer,,mamifero,21,,,"Jasper Wildfire, Dakota do Sul",Estados Unidos da América,Fígado,úmido,,,0.000046,0.000006,0.000054,0.000008,,,0.000009,0.000001,,,,0.006219,0.000481,,,0.018227,0.002707,,,0.000387,,0.000019,,,,,0.000098,,0.000006,0.003569,0.000142,,,0.005072,0.000162,,0.24924,6.676,,0.018805,0.000480,,0.086821,5.914,,0.400667,0.010267,,0.000022,0.000010,,0.00077,0.000006,,0.247762,0.003676,,,,,,,,,,,,,,,,,,,,,,,,,,,
