OBS;Código;Amostra;Reserva;Nome científico;Espécie;Classe;Umidade;Cinzas;Lipídios ;Proteínas;Mg 24 (ug/g);Fe 57 (ug/g);Ag 107 (ng/g);Al 27 (ug/g);Ba 138 (ug/g);Co 59 (ng/g);Cu 63 (ug/g);Zn 66 (ug/g);Se 82 (ng/g);Ti 205 (ng/g);Li 7 (ng/g);Rb 85 (ug/g);Sr 88 (ug/g);Cs 133 (ng/g);Mn 55 (ng/g);Ni 60 (ng/g);U 238 (ng/g);Sb 121 (ng/g);Sn 118 (ng/g);Te 130 (ng/g);Hg 202 (ng/g);As 75 (ng/g);Cd 111 (ng/g);Pb 208 (ng/g)
;047C;A1;RDSA;﻿Cairina moschata;Pato do mato;Aves;73.73;4.51;32.34;82.85;609.80;71.34;0.03;0.01;160.85;18.38;07.07;62.37;976.12;7.13;1.56;55.54;142.91;177.42;319.35;4.47;0.10;0.77;32.46;0.04;696.64;10.61;7.47;24.95
;047C;A2;RDSA;﻿Cairina moschata;Pato do mato;Aves;73.73;4.56;41.26;83.41;;;;;;;;;;;;;;;;;;;;;;;;
;047C;A3;RDSA;﻿Cairina moschata;Pato do mato;Aves;73.73;4.16;32.20;83.88;;;;;;;;;;;;;;;;;;;;;;;;
;049C;A1;RDSA;Penelope jacquaca;Jacú;Aves;71.61;4.75;20.23;80.96;94.07;08.06;0.01;0.01;0.01;15.91;3.43;15.52;685.34;7.13;11.01;64.27;30.61;786.37;108.99;0.01;0.03;0.01;42.27;0.68;56.32;13.74;7.97;0.01
;049C;A2;RDSA;Penelope jacquaca;Jacú;Aves;71.61;4.48;12.92;87.86;;;;;;;;;;;;;;;;;;;;;;;;
;049C;A3;RDSA;Penelope jacquaca;Jacú;Aves;71.61;4.59;25.02;87.24;;;;;;;;;;;;;;;;;;;;;;;;
;050C;A1;RDSA;Penelope jacquaca;Jacú;Aves;69.58;05.01;18.70;83.72;69.23;11.82;0.01;0.01;0.01;4.31;3.43;15.89;806.16;1.62;16.14;60.41;0.01;754.55;106.62;0.01;0.01;0.01;20.54;0.34;66.41;9.57;13.11;0.01
;050C;A2;RDSA;Penelope jacquaca;Jacú;Aves;69.58;4.66;19.18;82.83;;;;;;;;;;;;;;;;;;;;;;;;
;050C;A3;RDSA;Penelope jacquaca;Jacú;Aves;69.58;05.04;16.82;79.95;;;;;;;;;;;;;;;;;;;;;;;;
;053C;A1;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;73.36;3.54;28.58;51.27;67.58;2.65;0.01;0.01;0.01;7.96;1.24;32.92;1262.95;8.22;10.90;10.13;0.01;391.48;15.60;10.18;0.07;3.39;16.72;2.24;11189.22;43.81;3.86;0.01
;053C;A2;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;73.36;3.90;35.44;86.75;;;;;;;;;;;;;;;;;;;;;;;;
;053C;A3;RDSA;Euphractus sexcinctus;Tatupeba;Mamíferos;73.36;3.61;33.51;72.16;;;;;;;;;;;;;;;;;;;;;;;;
;054C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;76.7;5.14;20.79;84.97;382.80;33.75;0.01;0.01;59.24;8.78;3.79;67.38;1032.59;04.02;30.42;92.62;143.87;1770.08;264.39;0.01;0.07;11.86;25.52;0.47;0.01;12.34;0.56;394.15
;054C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;76.7;05.03;26.93;84.23;;;;;;;;;;;;;;;;;;;;;;;;
;054C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;76.7;4.79;25.86;86.40;;;;;;;;;;;;;;;;;;;;;;;;
;055C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;73.28;4.77;21.54;93.33;185.13;6.94;0.01;0.01;0.01;4.55;0.94;16.33;560.73;01.01;139.63;60.75;79.53;453.65;24.99;;0.01;3.23;5.41;0.01;0.01;5.16;2.71;15.43
;055C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;73.28;4.68;13.23;89.77;;;;;;;;;;;;;;;;0.01;;;;;;;;
;055C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;73.28;4.83;16.49;88.96;;;;;;;;;;;;;;;;;;;;;;;;
;056C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;74.28;3.99;19.96;70.74;204.76;14.70;8.51;0.01;0.01;2.74;1.98;45.48;560.62;5.90;107.97;77.10;59.04;1265.13;62.43;3.85;0.04;0.92;23.00;0.13;46.58;4.93;1.20;1.88
;056C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;74.28;4.43;14.50;72.35;;;;;;;;;;;;;;;;;;;;;;;;
;056C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;74.28;4.86;11.33;79.91;;;;;;;;;;;;;;;;;;;;;;;;
;061C;A1;RDSA;﻿Sotalia fluviatilis;Tucuxi;Mamíferos;72.1;4.17;16.34;91.07;152.93;190.97;0.01;0.01;0.01;6.56;2.58;67.26;917.32;16.72;3.47;41.09;22.35;513.86;150.42;0.01;0.03;0.38;4.79;1.37;67925.22;21.11;4.63;2.38
s/amostra;061C;A2;RDSA;﻿Sotalia fluviatilis;Tucuxi;Mamíferos;72.1;4.10;26.31;;;;;;;;;;;;;;;;;;;;;;;;;
;061C;A3;RDSA;﻿Sotalia fluviatilis;Tucuxi;Mamíferos;72.1;4.35;20.35;89.31;;;;;;;;;;;;;;;;;;;;;;;;
;065C;A1;;Crax globulosa;Mutum-piuri;Aves;74.18;3.72;27.66;62.24;111.39;22.08;0.01;0.01;0.01;14.51;2.29;119.56;511.19;8.82;1.95;42.48;0.01;180.36;386.14;0.01;0.01;0.01;14.01;0.57;38039.93;6.54;1.54;0.01
;065C;A2;;Crax globulosa;Mutum-piuri;Aves;74.18;3.82;26.35;33.25;;;;;;;;;;;;;;;;;;;;;;;;
;065C;A3;;Crax globulosa;Mutum-piuri;Aves;74.18;3.78;21.58;76.12;;;;;;;;;;;;;;;;;;;;;;;;
;070C;A1;;Caiman crocodilus;Jacaretinga;Répteis;77.25;4.91;16.25;88.02;348.35;5.94;0.01;0.01;0.01;2.69;0.62;46.57;500.13;12.97;02.01;67.24;76.58;849.29;209.94;0.01;0.09;2.87;9.33;2.18;36492.71;6.90;2.87;0.01
;070C;A2;;Caiman crocodilus;Jacaretinga;Répteis;77.25;4.87;21.65;88.60;;;;;;;;;;;;;;;;;;;;;;;;
;070C;A3;;Caiman crocodilus;Jacaretinga;Répteis;77.25;4.91;23.78;87.10;;;;;;;;;;;;;;;;;;;;;;;;
;071C;A1;;Mergus octosetaceus;Mergulhão;Aves;70.02;4.65;12.90;81.74;29.94;169.27;0.01;0.01;0.01;30.88;11.95;17.79;947.08;3.15;1.86;23.91;0.01;32.85;394.83;0.01;0.01;1.41;10.32;1.33;13416.19;24.65;66.38;0.01
;071C;A2;;Mergus octosetaceus;Mergulhão;Aves;70.02;4.61;16.60;81.62;;;;;;;;;;;;;;;;;;;;;;;;
;071C;A3;;Mergus octosetaceus;Mergulhão;Aves;70.02;4.79;13.25;87.64;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;090C;A1;;Pipile cumanensis;Cujubim ou jacutinga;Aves;71.63;4.92;18.89;86.98;199.09;39.26;0.01;0.01;0.01;6.77;04.02;20.11;404.28;3.60;10.49;82.60;13.19;724.23;1000.50;0.01;0.02;0.50;22.00;0.29;70.87;7.99;7.84;0.01
incompleto;090C;A2;;Pipile cumanensis;Cujubim ou jacutinga;Aves;71.63;4.85;19.65;89.18;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;090C;A3;;Pipile cumanensis;Cujubim ou jacutinga;Aves;71.63;4.90;9.69;88.13;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA01C;A1;FLONA;Cuniculus paca;Paca;Mamíferos;75.36;3.10;13.02;83.67;264.69;0.70;;;0.01;294.38;4.43;46.57;1.47;6.92;18.21;50.40;9.93;0.40;0.62;463.33;10.82;45.84;39.43;;0.03;13.82;502.09;7289.14
incompleto;FLA01C;A2;FLONA;Cuniculus paca;Paca;Mamíferos;75.36;2.98;18.36;82.08;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA01C;A3;FLONA;Cuniculus paca;Paca;Mamíferos;75.36;2.79;20.29;85.08;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA03C;A1;FLONA;Melanosuchus niger;Jacaré-açu;Répteis;77.95;4.36;19.03;99.26;829.00;0.01;;;670.99;101.65;0.97;84.55;0.82;15.46;3.45;162.57;2.40;1.10;0.67;72.91;1.62;0.34;10.90;;3.29;8.00;101.37;163.15
incompleto;FLA03C;A2;FLONA;Melanosuchus niger;Jacaré-açu;Répteis;77.95;4.23;17.29;95.58;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA03C;A3;FLONA;Melanosuchus niger;Jacaré-açu;Répteis;77.95;4.50;22.65;93.38;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA06C;A1;FLONA;Cuniculus paca;Paca;Mamíferos;74.61;4.55;14.08;79.99;807.84;4.72;;;413.47;50.56;05.09;35.38;1.60;2.93;20.13;199.05;3.99;2.94;0.40;60.94;0.28;5.93;8.31;;0.01;5.61;75.53;127.90
incompleto;FLA06C;A2;FLONA;Cuniculus paca;Paca;Mamíferos;74.61;4.61;12.89;80.66;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA06C;A3;FLONA;Cuniculus paca;Paca;Mamíferos;74.61;4.82;19.72;80.59;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA07C;A1;FLONA;Caiman crocodilus;Jacaretinga;Répteis;77.18;4.53;20.25;90.50;860.03;0.01;;;1150.15;57.34;04.09;109.12;0.68;09.07;9.30;162.88;1.39;0.87;0.56;83.07;0.68;02.07;26.28;;5.80;8.16;32.90;201.46
incompleto;FLA07C;A2;FLONA;Caiman crocodilus;Jacaretinga;Répteis;77.18;4.57;12.84;89.29;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA07C;A3;FLONA;Caiman crocodilus;Jacaretinga;Répteis;77.18;4.40;16.68;86.35;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA09C;A1;FLONA;Mazama americana;Veado capoeira;Mamíferos;72.31;3.36;22.26;82.23;494.33;23.15;;;3397.56;60.48;4.17;98.29;1.76;1.82;98.96;97.31;4.81;1.35;0.82;49.83;0.52;0.92;16.85;;0.04;12.36;30.97;180.59
incompleto;FLA09C;A2;FLONA;Mazama americana;Veado capoeira;Mamíferos;72.31;3.41;23.68;73.89;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA09C;A3;FLONA;Mazama americana;Veado capoeira;Mamíferos;72.31;3.38;23.95;68.33;;;;;;;;;;;;;;;;;;;;;;;;
incompleto;FLA10C;A1;FLONA;Caiman crocodilus;Jacaretinga;Répteis;76.55;04.05;21.68;78.70;782.20;0.01;;;2862.54;135.66;1.15;82.69;0.85;9.46;5.66;136.81;1.77;0.82;0.57;136.90;0.97;0.58;10.72;;5.33;10.20;99.44;225.86
incompleto;FLA10C;A2;FLONA;Caiman crocodilus;Jacaretinga;Répteis;76.55;4.33;24.03;80.58;;;;;;;;;;;;;;;;;;;;;;;;
;FLA10C;A3;FLONA;Caiman crocodilus;Jacaretinga;Répteis;76.55;4.17;27.74;79.84;;;;;;;;;;;;;;;;;;;;;;;;
;009C;A1;RDSM;Porphyrio martinica;Galinha-d'água;Aves;70.43;4.77;21.65;75.48;424.75;121.86;8.83;0.01;0.01;33.39;9.00;45.91;816.20;4.44;20.50;24.55;5.59;10.37;510.99;27.84;0.27;1.75;5.26;0.35;835.14;28.95;28.89;5.48
;009C;A2;RDSM;Porphyrio martinica;Galinha-d'água;Aves;70.43;4.44;23.25;82.12;;;;;;;;;;;;;;;;;;;;;;;;
;009C;A3;RDSM;Porphyrio martinica;Galinha-d'água;Aves;70.43;4.33;28.28;79.70;;;;;;;;;;;;;;;;;;;;;;;;
;015C;A1;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;74.06;3.90;15.71;90.98;551.16;88.25;5.36;16970.08;328.37;14.17;3.12;66.94;763.35;2.30;6.62;34.23;346.70;280.45;655.59;85.68;03.09;1.51;11.79;0.12;56.53;13.36;31.36;50.43
;015C;A2;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;74.06;3.53;18.62;89.60;;;;;;;;;;;;;;;;;;;;;;;;
;015C;A3;RDSA;Dasyprocta fuliginosa;Cutia;Mamíferos;74.06;3.24;21.32;90.77;;;;;;;;;;;;;;;;;;;;;;;;
;020C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;69.16;4.74;24.94;81.01;800.41;8.00;0.01;0.01;0.01;4.18;0.95;12.50;624.08;1.42;11.97;50.35;272.16;953.58;62.81;23.41;0.19;0.70;4.54;0.13;39.78;3.58;2.91;0.01
;020C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;69.16;4.48;18.55;81.57;;;;;;;;;;;;;;;;;;;;;;;;
;020C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;69.16;4.58;19.17;79.46;;;;;;;;;;;;;;;;;;;;;;;;
;021C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;72.68;4.75;13.33;86.98;626.75;11.28;2.17;0.01;0.01;6.22;0.77;14.52;508.87;1.23;2.58;36.51;104.59;824.02;82.51;95.20;0.12;0.01;6.42;0.01;13.06;6.97;2.65;0.01
;021C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;72.68;4.71;19.97;86.15;;;;;;;;;;;;;;;;;;;;;;;;
;021C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;72.68;4.45;26.37;87.50;;;;;;;;;;;;;;;;;;;;;;;;
;022C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;73.26;4.69;16.68;93.50;199.89;10.21;0.01;0.01;0.01;4.72;2.33;32.40;1017.84;1.62;2.93;111.69;77.70;1237.61;50.62;2.81;0.15;0.01;0.01;0.24;31.37;4.63;6.15;0.01
;022C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;73.26;4.62;17.53;94.54;;;;;;;;;;;;;;;;;;;;;;;;
;022C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;73.26;4.63;18.42;94.18;;;;;;;;;;;;;;;;;;;;;;;;
;025C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;73.61;4.65;18.53;85.46;239.49;1.80;0.01;0.01;0.01;2.23;0.91;14.84;491.16;1.46;05.01;69.03;72.17;205.27;23.16;17.94;0.09;0.01;7.24;0.01;30.13;03.02;01.09;0.01
;025C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;73.61;4.78;20.74;84.86;;;;;;;;;;;;;;;;;;;;;;;;
;025C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;73.61;4.65;23.48;85.03;;;;;;;;;;;;;;;;;;;;;;;;
;026C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;72.24;05.08;37.04;68.74;250.97;4.56;0.01;0.01;0.01;4.52;1.60;21.04;601.56;1.68;7.19;77.81;72.55;908.93;45.09;16.79;0.07;0.05;5.20;0.06;84.80;5.28;2.31;0.01
;026C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;72.24;4.86;45.79;81.47;;;;;;;;;;;;;;;;;;;;;;;;
;026C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;72.24;5.24;34.10;72.59;;;;;;;;;;;;;;;;;;;;;;;;
;027C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;72.36;4.42;21.18;84.04;391.53;27.97;0.01;0.01;0.01;03.08;2.46;31.52;605.75;1.30;2.81;77.63;90.42;1252.61;61.77;1.74;0.17;1.27;7.00;0.03;11.67;5.30;4.99;3.54
;027C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;72.36;4.57;22.96;85.73;;;;;;;;;;;;;;;;;;;;;;;;
;027C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;72.36;4.36;16.83;83.36;;;;;;;;;;;;;;;;;;;;;;;;
;033C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;72.82;4.43;40.32;61.14;395.71;17.75;0.01;0.01;0.01;7.49;02.01;27.06;680.79;02.06;48.09;68.08;162.99;837.63;102.96;6.54;0.14;0.74;2.67;0.11;32.93;8.42;5.41;6.97
;033C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;72.82;3.91;29.48;78.42;;;;;;;;;;;;;;;;;;;;;;;;
;033C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;72.82;4.18;31.08;76.56;;;;;;;;;;;;;;;;;;;;;;;;
;035C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;72.14;4.63;22.23;79.66;243.68;1.18;0.01;0.01;0.01;2.75;1.30;16.84;418.45;2.22;85.41;51.06;44.06;580.68;30.53;8.66;0.06;0.04;2.70;0.07;38.94;09.01;0.29;0.01
;035C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;72.14;4.48;21.01;79.29;;;;;;;;;;;;;;;;;;;;;;;;
;035C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;72.14;4.69;18.66;79.10;;;;;;;;;;;;;;;;;;;;;;;;
;036C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;72.69;4.44;24.58;82.10;221.18;7.64;0.01;0.01;0.01;2.87;2.80;28.23;1428.10;2.21;78.26;87.53;80.89;3579.68;40.26;10.94;0.16;1.21;1.30;0.17;53.37;8.39;6.17;0.01
;036C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;72.69;3.42;13.33;79.01;;;;;;;;;;;;;;;;;;;;;;;;
;036C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;72.69;4.53;15.34;80.27;;;;;;;;;;;;;;;;;;;;;;;;
;037C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;71.73;5.23;25.15;82.90;157.77;5.79;0.01;0.01;0.01;6.17;1.61;23.71;777.83;1.61;4.20;85.36;44.06;1269.91;13.14;3.26;0.07;0.09;0.01;0.11;13.16;6.45;3.52;0.01
;037C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;71.73;5.26;19.43;84.42;;;;;;;;;;;;;;;;;;;;;;;;
;037C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;71.73;5.11;15.15;85.96;;;;;;;;;;;;;;;;;;;;;;;;
;039C;A1;RDSA;Cuniculus paca;Paca;Mamíferos;72.11;4.19;26.66;81.64;257.01;11.06;0.01;0.01;0.01;10.23;2.17;35.17;703.45;25.60;3.41;70.05;232.27;631.18;36.88;09.08;0.29;0.03;13.28;0.40;22.93;9.88;6.39;0.01
;039C;A2;RDSA;Cuniculus paca;Paca;Mamíferos;72.11;4.14;46.61;77.71;;;;;;;;;;;;;;;;;;;;;;;;
;039C;A3;RDSA;Cuniculus paca;Paca;Mamíferos;72.11;4.00;28.42;63.97;;;;;;;;;;;;;;;;;;;;;;;;
;001C;A1;RDSM;Melanosuchus niger;Jacaré-açu;Répteis;;4.26;24.53;98.09;541.75;2.27;0.01;0.01;0.01;0.83;0.50;37.95;439.89;4.81;2.38;44.54;28.87;148.95;44.93;103.04;0.08;02.09;0.01;1.59;8203.12;74.17;1.23;9.24
;001C;A2;RDSM;Melanosuchus niger;Jacaré-açu;Répteis;;4.51;19.25;94.06;;;;;;;;;;;;;;;;;;;;;;;;
;001C;A3;RDSM;Melanosuchus niger;Jacaré-açu;Répteis;;4.48;16.89;96.74;;;;;;;;;;;;;;;;;;;;;;;;
;002C;A1;RDSM;Eunectes murinus;Sucuri;Répteis;;5.29;13.30;87.35;319.97;18.54;02.08;0.01;0.01;31.73;1.17;143.88;415.65;2.61;6.38;96.15;24.16;214.13;464.15;35.47;0.90;2.26;19.88;1.99;3533.91;147.31;9.77;0.01
;002C;A2;RDSM;Eunectes murinus;Sucuri;Répteis;;05.04;15.14;89.66;;;;;;;;;;;;;;;;;;;;;;;;
;002C;A3;RDSM;Eunectes murinus;Sucuri;Répteis;;5.10;13.03;88.87;;;;;;;;;;;;;;;;;;;;;;;;
;003C;A1;RDSM;Alouatta seniculus;Guariba;Mamíferos;;3.95;23.75;86.73;524.67;110.17;0.01;0.01;0.01;10.60;04.02;113.61;208.52;5.34;196.88;30.63;32.57;205.90;448.24;22.82;0.27;0.57;2.52;0.26;6.44;73.73;72.92;0.01
;003C;A2;RDSM;Alouatta seniculus;Guariba;Mamíferos;;4.66;26.48;86.90;;;;;;;;;;;;;;;;;;;;;;;;
;003C;A3;RDSM;Alouatta seniculus;Guariba;Mamíferos;;4.47;19.78;87.68;;;;;;;;;;;;;;;;;;;;;;;;
;004C;A1;RDSM;Alouatta seniculus;Guariba;Mamíferos;;3.64;12.43;93.53;100.23;79.99;0.01;0.01;0.01;19.20;04.02;71.89;87.30;03.06;5.30;24.95;12.40;111.69;58.77;49.63;0.22;06.03;5.63;0.29;0.01;33.35;260.01;347.02
;004C;A2;RDSM;Alouatta seniculus;Guariba;Mamíferos;;04.05;9.79;90.12;;;;;;;;;;;;;;;;;;;;;;;;
;004C;A3;RDSM;Alouatta seniculus;Guariba;Mamíferos;;2.53;8.55;93.22;;;;;;;;;;;;;;;;;;;;;;;;
;005C;A1;RDSM;Paleosuchus palpebrosus;Jacaré-paguá;Répteis;;4.56;11.56;87.15;416.12;11.44;0.01;0.01;0.01;3.14;0.63;14.98;463.45;8.50;1.55;35.45;36.70;118.01;247.94;137.04;0.13;5.16;0.01;1.84;4360.11;105.45;2.49;11.39
;005C;A2;RDSM;Paleosuchus palpebrosus;Jacaré-paguá;Répteis;;4.52;11.71;86.41;;;;;;;;;;;;;;;;;;;;;;;;
;005C;A3;RDSM;Paleosuchus palpebrosus;Jacaré-paguá;Répteis;;4.64;16.72;87.67;;;;;;;;;;;;;;;;;;;;;;;;
;007C;A1;RDSM;Crax globulosa;Mutum-piuri;Aves;;5.20;19.11;84.82;137.13;5.57;0.01;0.01;0.01;8.40;1.66;44.26;946.38;21.40;29.63;76.74;2.52;187.25;264.42;145.95;0.13;0.11;0.81;0.50;4.92;23.20;160.65;18.92
;007C;A2;RDSM;Crax globulosa;Mutum-piuri;Aves;;3.43;13.32;82.13;;;;;;;;;;;;;;;;;;;;;;;;
;007C;A3;RDSM;Crax globulosa;Mutum-piuri;Aves;;3.21;24.82;81.78;;;;;;;;;;;;;;;;;;;;;;;;
s/amostra;008C;A1;RDSM;Crax globulosa;Mutum-piuri;Aves;;5.23;;83.00;174.14;11.59;0.01;0.01;0.01;4.83;1.67;61.04;980.41;15.35;13.06;86.56;0.01;125.73;279.97;120.76;0.37;0.34;0.81;0.21;0.50;13.38;22.86;18.78
s/amostra;008C;A2;RDSM;Crax globulosa;Mutum-piuri;Aves;;6.57;;82.18;;;;;;;;;;;;;;;;;;;;;;;;
s/amostra;008C;A3;RDSM;Crax globulosa;Mutum-piuri;Aves;;4.42;;82.33;;;;;;;;;;;;;;;;;;;;;;;;
;010C;A1;RDSM;Mitu tuberosum;Mutum-cavalo;Aves;;4.65;15.27;97.19;71.44;2.26;0.01;0.01;0.01;14.47;2.14;11.83;463.39;331.11;18.14;72.64;28.91;184.41;25.81;134.86;0.27;0.08;2.14;0.46;56.31;22.69;610.55;30.09
;010C;A2;RDSM;Mitu tuberosum;Mutum-cavalo;Aves;;4.60;14.45;98.14;;;;;;;;;;;;;;;;;;;;;;;;
;010C;A3;RDSM;Mitu tuberosum;Mutum-cavalo;Aves;;4.66;13.82;96.36;;;;;;;;;;;;;;;;;;;;;;;;
